ts_s,ang1,ang2,ang3,ang1_filtered,ang2_filtered,ang3_filtered,ang_principal,ang_principal_filtered
16.138359485079857,-82.47449,-0.9162346,-133.15984,-82.49386107135115,-1.254031644014648,-133.63076427436624,-13.413574674852287,-13.895767766782368
16.139799638523108,-82.47449,-0.9162346,-133.15984,-82.49845811932164,-1.2607166646788546,-133.6232992928164,-13.413574674852287,-13.88854467675841
16.14123979196636,-82.51337946110446,-0.997031112271997,-133.32984051455176,-82.50305516729212,-1.2674016853430614,-133.6158343112666,-13.586311213676192,-13.881321586734455
16.14267994540961,-82.63667,-1.2531788,-133.86879,-82.5076522152626,-1.2740867060072678,-133.60836932971677,-14.133934666244663,-13.874098496710499
16.144120098852863,-82.63667,-1.2531788,-133.86879,-82.51224926323309,-1.2807717266714747,-133.60090434816698,-14.133934666244663,-13.866875406686543
16.145560252296114,-82.63667,-1.2531788,-133.86879,-82.51699018035038,-1.2876917190089214,-133.59340141296246,-14.133934666244663,-13.859622696306893
16.147000405739366,-82.63667,-1.2531788,-133.86879,-82.52195721257175,-1.2949918034644377,-133.5859730961779,-14.133934666244663,-13.852457990896333
16.148440559182617,-82.63667,-1.2531788,-133.86879,-82.52739699116952,-1.3031305522541055,-133.57924804082734,-14.133934666244663,-13.846025713903533
16.149880712625873,-82.63667,-1.2531788,-133.86879,-82.5328367697673,-1.3112693010437735,-133.5725229854768,-14.133934666244663,-13.839593436910729
16.151320866069124,-82.6810971159309,-1.2997484991074701,-133.57779977057223,-82.53839805454557,-1.3194080498334415,-133.56579793012628,-13.844795454249164,-13.833161422628159
16.152761019512376,-82.77513,-1.3983163,-132.9619,-82.54433974885882,-1.3275467986231093,-133.5590728747757,-13.232813482615084,-13.826730230834439
16.154201172955627,-82.77513,-1.3983163,-132.9619,-82.55057196288095,-1.3356855474127771,-133.55234781942517,-13.232813482615084,-13.8202996671775
16.15564132639888,-82.77513,-1.3983163,-132.9619,-82.55704277101313,-1.3442797839112846,-133.54612343803615,-13.232813482615084,-13.814385510013018
16.15708147984213,-82.77513,-1.3983163,-132.9619,-82.5634020194718,-1.3527887398853253,-133.54071580236558,-13.232813482615084,-13.809284478353183
16.158521633285382,-82.77513,-1.3983163,-132.9619,-82.56928111541275,-1.3605076376713034,-133.53534225993016,-13.232813482615084,-13.804189582613123
16.159961786728633,-82.77513,-1.3983163,-132.9619,-82.5751602113537,-1.3682265354572811,-133.52996871749474,-13.232813482615084,-13.799094686873062
16.161401940171885,-82.70614500829947,-1.2865979134930845,-132.99917593154058,-82.58103930729467,-1.375945433243259,-133.52459517505932,-13.266114855753857,-13.793999791133
16.162842093615136,-82.6035,-1.1203685,-133.05464,-82.58691840323564,-1.383664331029237,-133.5192216326239,-13.31566504975912,-13.78890489539294
16.164282247058388,-82.6035,-1.1203685,-133.05464,-82.5927974991766,-1.3913832288152148,-133.51384809018845,-13.31566504975912,-13.783809999652881
16.16572240050164,-82.6035,-1.1203685,-133.05464,-82.59764342553838,-1.3975084261965902,-133.50961374022552,-13.31566504975912,-13.7797971382653
16.16716255394489,-82.6035,-1.1203685,-133.05464,-82.60162524461128,-1.402401487581829,-133.50691193781313,-13.31566504975912,-13.77727211314337
16.168602707388143,-82.6035,-1.1203685,-133.05464,-82.6053995767146,-1.4072077690578437,-133.50578090460277,-13.31566504975912,-13.776313539625518
16.170042860831398,-82.6035,-1.1203685,-133.05464,-82.60917390881794,-1.4120140505338585,-133.50464987139244,-13.31566504975912,-13.775354966107665
16.17148301427465,-82.6035,-1.1203685,-133.05464,-82.61294824092127,-1.4168203320098733,-133.50351883818212,-13.31566504975912,-13.774396392589813
16.1729231677179,-82.54873215196773,-0.9688102094165283,-132.46721914942154,-82.61672257302457,-1.421626613485888,-133.5023878049718,-12.723307585318938,-13.77343781907196
16.174363321161152,-82.544174,-0.9561965,-132.41833,-82.6204969051279,-1.4264328949619027,-133.50125677176146,-12.67400757739199,-13.77247924555411
16.175803474604404,-82.544174,-0.9561965,-132.41833,-82.62273673157448,-1.4285052299536103,-133.4985562463732,-12.67400757739199,-13.769855692292369
16.177243628047655,-82.544174,-0.9561965,-132.41833,-82.6241757254839,-1.4290156638939298,-133.49418811520928,-12.67400757739199,-13.765510594034964
